mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail,a2a_pre_briefs,outreach_opt_outs,unique_citizens_contacted,reach_0_44,reach_45_64,reach_65_79,reach_80plus
IST,off,71,6,4,2,33561,0,31,63,37,18.6,0,0.7,0,0,0,0,0,0,0,0
IST,off,72,10,8,2,33561,0,205,112,45,24.3,0,0.79,0,0,0,0,0,0,0,0
IST,off,73,7,5,2,33561,0,61,50,38,17.35,0,0.3,0,0,0,0,0,0,0,0
IST,off,74,7,7,0,33561,0,78,66,38,23.35,0,0.3,0,0,0,0,0,0,0,0
IST,off,75,6,3,3,33561,0,10,37,38,10.5,0,0.3,0,0,0,0,0,0,0,0
IST,off,76,3,2,1,33561,0,26,43,40,18.5,0,0.3,0,0,0,0,0,0,0,0
IST,off,77,6,5,1,33561,0,136,83,39,23.25,0,0.3,0,0,0,0,0,0,0,0
IST,off,78,7,4,3,33561,0,29,55,39,17.85,0,0.315,0,0,0,0,0,0,0,0
IST,off,79,7,6,1,33561,0,49,51,38,15,0,0.3,0,0,0,0,0,0,0,0
IST,off,80,4,4,0,33561,0,80,91,41,23.25,0,0.3,0,0,0,0,0,0,0,0
IST,off,81,3,2,1,33561,0,4,25,35,7.85,0,0.3,0,0,0,0,0,0,0,0
IST,off,82,3,2,1,33561,0,34,40,36,15.2,0,0.3,0,0,0,0,0,0,0,0
IST,off,83,6,5,1,33561,0,39,73,37,19.7,0,0.368,0,0,0,0,0,0,0,0
IST,off,84,6,5,1,33561,0,42,61,38,18.55,0,0.303,0,0,0,0,0,0,0,0
IST,off,85,5,4,1,33561,0,69,64,37,18.45,0,0.3,0,0,0,0,0,0,0,0
IST,off,86,8,8,0,33561,0,51,79,39,21.8,0,0.3,0,0,0,0,0,0,0,0
IST,off,87,14,13,1,33561,0,109,88,42,21.9,0,0.44,0,0,0,0,0,0,0,0
IST,off,88,8,7,1,33561,0,50,63,40,16.8,0,0.3,0,0,0,0,0,0,0,0
IST,off,89,3,2,1,33561,0,28,33,35,13.6,0,0.3,0,0,0,0,0,0,0,0
IST,off,90,5,3,2,33561,0,22,49,35,14,0,0.3,0,0,0,0,0,0,0,0
IST,off,91,4,1,3,33561,0,24,33,36,10.85,0,0.3,0,0,0,0,0,0,0,0
IST,off,92,3,0,3,33561,0,17,26,35,11.25,0,0.3,0,0,0,0,0,0,0,0
IST,off,93,6,4,2,33561,0,79,100,40,23.9,0,0.3,0,0,0,0,0,0,0,0
IST,off,94,10,7,3,33561,0,31,41,40,11.55,0,0.3,0,0,0,0,0,0,0,0
IST,off,95,6,4,2,33561,0,21,64,39,18.4,0,0.3,0,0,0,0,0,0,0,0
IST,off,96,2,1,1,33561,0,65,63,38,21.15,0,0.3,0,0,0,0,0,0,0,0
IST,off,97,0,0,0,33561,0,50,65,37,20.6,0,0,0,0,0,0,0,0,0,0
IST,off,98,11,6,5,33561,0,85,86,42,23,0,0.3,0,0,0,0,0,0,0,0
IST,off,99,3,3,0,33561,0,51,58,38,17.8,0,0.3,0,0,0,0,0,0,0,0
IST,off,100,5,2,3,33561,0,5,46,36,12.9,0,0.3,0,0,0,0,0,0,0,0
SOLL,off,1,4,4,0,5594,286,248,49,16,4.35,0,0.3,1,286,0,15,69,90,82,45
SOLL,off,2,9,7,2,5594,220,200,52,19,3.35,0,0.3,1,220,151,17,51,36,114,19
SOLL,off,3,4,3,1,5594,382,232,67,19,5.4,0,0.3,0,382,20,24,90,70,157,65
SOLL,off,4,8,5,3,5594,574,317,95,23,7.3,0,0.3,0,574,11,23,105,147,214,108
SOLL,off,5,5,3,2,5594,405,234,64,19,5.55,0,0.3,1,405,16,20,180,64,161,0
SOLL,off,6,5,4,1,5594,314,294,61,18,4.65,0,0.3,1,314,72,15,87,175,52,0
SOLL,off,7,6,6,0,5594,265,101,62,15,3.8,0,0.3,0,265,131,17,81,173,11,0
SOLL,off,8,4,3,1,5594,369,246,66,19,5.1,0,0.3,0,369,0,16,82,125,162,0
SOLL,off,9,6,5,1,5594,389,239,63,21,5.45,0,0.355,0,389,31,19,119,20,146,104
SOLL,off,10,8,6,2,5594,430,208,88,19,5.65,0,0.55,0,430,192,20,77,159,94,100
SOLL,off,11,6,4,2,5594,302,98,68,18,4.4,0,0.3,0,302,262,19,148,45,109,0
SOLL,off,12,9,8,1,5594,441,258,79,18,5.7,0,0.3,0,441,33,24,141,151,58,91
SOLL,off,13,13,10,3,5594,372,268,72,22,5.2,0,0.3,0,372,186,18,62,28,0,282
SOLL,off,14,9,7,2,5594,390,314,93,19,5.45,0,0.3,1,390,210,20,94,103,184,9
SOLL,off,15,7,6,1,5594,506,279,78,20,6.9,0,0.3,0,506,143,19,37,42,329,98
SOLL,off,16,7,0,7,5594,366,203,64,19,5.1,0,0.3,0,366,12,16,59,175,12,120
SOLL,off,17,6,3,3,5594,178,54,24,12,2.8,0,0.3,0,178,169,11,57,0,33,88
SOLL,off,18,4,1,3,5594,69,18,19,12,1.05,0,0.3,0,69,0,9,40,11,18,0
SOLL,off,19,6,4,1,5594,411,349,76,18,4.9,0,0.474,1,411,0,15,52,119,73,167
SOLL,off,20,9,5,4,5594,727,672,132,26,8.55,0,0.3,1,727,0,26,138,94,348,147
SOLL,off,21,1,0,1,5594,290,46,65,19,4.15,0,0,0,290,149,17,87,73,110,20
SOLL,off,22,4,3,0,5594,268,147,51,17,4.15,0,0.562,0,268,49,16,104,64,100,0
SOLL,off,23,7,5,2,5594,355,179,82,19,4.75,0,0.3,0,355,0,26,159,146,50,0
SOLL,off,24,4,4,0,5594,665,589,108,24,7.8,0,0.7,1,665,10,20,109,100,131,325
SOLL,off,25,4,3,1,5594,164,126,38,12,2.55,0,0.3,1,164,112,10,57,107,0,0
SOLL,off,26,9,5,4,5594,215,117,47,15,3.35,0,0.3,0,215,99,14,84,77,54,0
SOLL,off,27,5,2,3,5594,208,127,34,15,3.1,0,0.3,0,208,14,17,59,128,0,21
SOLL,off,28,4,3,0,5594,295,247,66,16,4.15,0,1,0,295,111,16,185,35,75,0
SOLL,off,29,6,4,2,5594,248,117,36,17,3.6,0,0.3,0,248,17,15,92,19,44,93
SOLL,off,30,8,5,2,5594,218,115,70,15,3.5,0,0.862,0,218,76,16,94,84,40,0
SOLL,off,31,12,9,2,5594,377,367,84,18,5.15,0,0.489,0,377,5,18,96,81,134,66
SOLL,off,32,4,2,2,5594,311,151,66,15,4.3,0,0.3,0,311,0,15,65,101,37,108
SOLL,off,33,6,2,4,5594,300,66,71,15,4.05,0,0.3,0,300,0,16,50,47,102,101
SOLL,off,34,6,3,3,5594,345,244,78,17,4.7,0,0.3,0,345,11,20,36,136,119,54
SOLL,off,35,4,3,0,5594,275,163,53,15,4.05,0,0.781,0,275,135,16,121,51,103,0
SOLL,off,36,9,7,2,5594,592,451,106,20,7.4,0,0.3,0,592,23,23,77,90,379,46
SOLL,off,37,5,5,0,5594,384,266,73,19,5.5,0,0.3,1,384,20,15,109,65,157,53
SOLL,off,38,4,3,1,5594,207,75,35,18,3.15,0,0.3,0,207,0,17,46,62,66,33
SOLL,off,39,3,2,0,5594,335,194,61,19,4.85,0,0.7,0,335,43,21,205,37,89,4
SOLL,off,40,8,7,1,5594,376,375,82,16,5.35,0,0.3,1,376,157,19,121,61,36,158
SOLL,off,41,3,2,1,5594,409,388,61,17,5.7,0,0.3,1,409,17,14,159,0,0,250
SOLL,off,42,6,4,2,5594,262,98,49,16,3.75,0,0.3,0,262,122,16,68,52,104,38
SOLL,off,43,11,7,4,5594,232,82,59,20,3.15,0,0.6,1,232,56,22,88,80,18,46
SOLL,off,44,5,2,2,5594,320,175,66,19,4.85,0,0.789,1,320,49,17,105,121,80,14
SOLL,off,45,6,6,0,5594,439,265,84,21,5.7,0,0.3,1,439,52,17,130,90,0,219
SOLL,off,46,7,5,2,5594,494,340,94,22,6.3,0,0.3,0,494,74,27,109,160,69,156
SOLL,off,47,8,6,1,5594,178,43,47,16,2.75,0,0.819,0,178,72,16,109,38,22,9
SOLL,off,48,10,10,0,5594,675,541,118,26,7.95,0,0.3,1,675,196,22,30,42,233,370
SOLL,off,49,4,1,3,5594,378,242,53,18,5.45,0,0.3,0,378,27,20,71,33,79,195
SOLL,off,50,8,7,1,5594,725,354,113,25,8.35,0,0.3,0,725,42,25,186,65,297,177
SOLL,off,51,6,4,2,5594,230,99,44,14,3.5,0,0.337,0,230,191,13,26,86,118,0
SOLL,off,52,11,11,0,5594,350,171,78,19,5,0,0.6,1,350,142,17,47,47,85,171
SOLL,off,53,4,2,2,5594,265,112,53,18,4,0,0.3,0,265,104,14,100,67,98,0
SOLL,off,54,4,1,3,5594,394,153,67,17,5.45,0,0.3,0,394,0,20,175,71,148,0
SOLL,off,55,7,6,1,5594,179,96,35,14,2.75,0,0.3,0,179,34,17,87,46,0,46
SOLL,off,56,3,1,2,5594,197,72,33,15,2.95,0,0.3,0,197,32,14,93,63,28,13
SOLL,off,57,5,5,0,5594,315,135,66,17,4.45,0,0.3,1,315,58,14,62,87,91,75
SOLL,off,58,4,4,0,5594,480,380,74,19,6.3,0,0.48,0,480,42,18,50,158,272,0
SOLL,off,59,6,4,1,5594,275,258,56,16,4.25,0,0.382,1,275,113,14,70,16,66,123
SOLL,off,60,4,4,0,5594,296,97,50,15,4,0,0.3,0,296,40,14,144,41,101,10
SOLL,off,61,8,5,3,5594,467,147,78,21,5.85,0,0.3,0,467,67,19,120,23,159,165
SOLL,off,62,6,5,1,5594,408,211,75,22,5.3,0,0.4,1,408,188,21,70,92,172,74
SOLL,off,63,4,2,2,5594,375,192,79,20,5.4,0,0.3,1,375,32,19,143,108,124,0
SOLL,off,64,4,2,2,5594,226,60,36,14,3.35,0,0.3,0,226,0,10,79,3,144,0
SOLL,off,65,3,3,0,5594,132,50,38,12,2.1,0,0.3,0,132,35,10,78,8,0,46
SOLL,off,66,8,4,3,5594,257,166,36,14,3.7,0,0.7,0,257,0,10,1,42,46,168
SOLL,off,67,2,2,0,5594,168,109,39,13,2.6,0,0.3,1,168,0,13,63,105,0,0
SOLL,off,68,8,6,2,5594,161,68,37,13,2.45,0,0.3,0,161,52,13,70,0,91,0
SOLL,off,69,6,5,1,5594,455,311,83,19,6.15,0,0.3,0,455,186,21,135,116,204,0
SOLL,off,70,6,5,1,5594,232,238,41,17,3.5,0,0.667,0,232,46,17,135,27,45,25
SOLL,off,71,4,4,0,5594,170,186,31,14,2.7,0,0.3,0,170,55,8,38,6,10,116
SOLL,off,72,5,4,1,5594,276,189,63,17,4.25,0,0.3,0,276,133,15,46,110,88,32
SOLL,off,73,1,0,1,5594,347,112,62,14,4.95,0,0,0,347,70,15,153,78,116,0
SOLL,off,74,5,4,1,5594,251,117,66,14,3.7,0,0.3,0,251,9,19,160,76,15,0
SOLL,off,75,6,4,2,5594,273,191,56,16,3.95,0,0.3,0,273,0,18,74,41,135,23
SOLL,off,76,3,3,0,5594,368,209,78,20,5.3,0,0.3,1,368,148,22,106,132,130,0
SOLL,off,77,10,7,2,5594,435,291,77,18,5.5,0,0.361,1,435,9,21,118,59,258,0
SOLL,off,78,9,7,2,5594,253,240,58,16,3.75,0,0.3,1,253,274,11,37,69,3,144
SOLL,off,79,6,2,3,5594,270,194,50,14,4.15,0,0.744,1,270,0,14,85,0,128,57
SOLL,off,80,9,8,1,5594,349,216,76,19,4.7,0,0.3,1,349,144,15,45,35,53,216
SOLL,off,81,8,7,1,5594,504,265,102,21,6.65,0,0.608,1,504,156,26,89,136,241,38
SOLL,off,82,3,2,1,5594,282,210,58,16,4.25,0,0.3,0,282,43,17,143,0,107,32
SOLL,off,83,6,4,2,5594,313,202,68,19,4.6,0,0.3,0,313,78,16,55,16,173,69
SOLL,off,84,6,5,1,5594,247,122,67,18,3.6,0,0.3,0,247,129,18,101,65,4,77
SOLL,off,85,4,4,0,5594,380,165,74,17,5.25,0,0.3,0,380,0,17,178,11,120,71
SOLL,off,86,4,4,0,5594,216,118,51,14,3.1,0,0.3,0,216,30,14,39,47,101,29
SOLL,off,87,9,6,3,5594,295,251,64,16,4.3,0,0.3,1,295,86,18,94,64,131,6
SOLL,off,88,3,3,0,5594,462,359,83,21,6.2,0,0.3,0,462,93,23,208,84,121,49
SOLL,off,89,3,1,2,5594,250,145,50,19,3.75,0,0.3,0,250,0,15,168,60,0,22
SOLL,off,90,9,4,5,5594,300,180,50,16,3.9,0,0.3,1,300,0,16,98,3,44,155
SOLL,off,91,6,5,1,5594,311,196,59,15,4.35,0,0.55,0,311,115,16,80,66,67,98
SOLL,off,92,9,6,3,5594,460,169,76,22,5.9,0,0.3,1,460,56,19,107,43,41,269
SOLL,off,93,9,6,3,5594,294,168,66,19,3.95,0,0.3,0,294,9,21,128,24,103,39
SOLL,off,94,3,3,0,5594,179,101,55,15,2.75,0,0.301,1,179,25,15,84,91,4,0
SOLL,off,95,7,2,4,5594,374,287,72,16,5.1,0,0.489,0,374,193,19,93,46,87,148
SOLL,off,96,10,9,1,5594,339,296,65,19,4.45,0,0.3,1,339,39,19,112,70,126,31
SOLL,off,97,5,3,2,5594,500,142,74,20,6.15,0,0.3,0,500,95,19,121,41,120,218
SOLL,off,98,1,1,0,5594,158,73,29,13,2.35,0,0.3,0,158,10,9,121,0,0,37
SOLL,off,99,7,7,0,5594,310,142,74,18,4.4,0,0.998,0,310,43,19,133,93,35,49
SOLL,off,100,8,5,2,5594,571,455,98,21,6.7,0,0.449,1,571,357,19,44,71,187,269
